,neighborhood_name,district_name,sq_mt_price,center_distance,bearing_sin,bearing_cos,latitude,longitude
Neighborhood 23: Malasaña-Universidad (5196.25 €/m2) - District 4: Centro,Malasaña,Centro,5196.25,1.1121458175667123,-0.04929795728900497,0.9987841165172439,40.4267079,-3.7042311
Neighborhood 20: Chueca-Justicia (6029.36 €/m2) - District 4: Centro,Chueca,Centro,6029.36,0.7614386535212357,0.4728465788101245,0.8811447740908191,40.4227415,-3.6993271
Neighborhood 24: Palacio (4693.52 €/m2) - District 4: Centro,Palacio,Centro,4693.52,0.9566274554836592,-0.9870886554435159,-0.16017486161914415,40.4153295,-3.7147092
Neighborhood 25: Sol (5390.99 €/m2) - District 4: Centro,Sol,Centro,5390.99,0.16990407483348638,0.6781249376098455,0.7349466436358786,40.4178272,-3.7022221
Neighborhood 102: Recoletos (8392.43 €/m2) - District 15: Salamanca,Recoletos,Salamanca,8392.43,1.7365263168126044,0.8709919783639899,0.4912972355159176,40.4243637,-3.6857429
Neighborhood 99: Goya (5887.64 €/m2) - District 15: Salamanca,Goya,Salamanca,5887.64,2.487658487088581,0.9336411361322804,0.35820975548081413,40.4246991,-3.6762001
Neighborhood 101: Lista (5681.21 €/m2) - District 15: Salamanca,Lista,Salamanca,5681.21,3.039696191418606,0.8105067096083409,0.5857293519022763,40.4326938,-3.6745087
Neighborhood 97: Castellana (6882.35 €/m2) - District 15: Salamanca,Castellana,Salamanca,6882.35,2.4759574468928878,0.6651420368149901,0.746716861240997,40.4333241,-3.6841316
Neighborhood 100: Guindalera (4367.9 €/m2) - District 15: Salamanca,Guindalera,Salamanca,4367.9,3.7241962941996722,0.8091535149105583,0.5875973019916693,40.436356,-3.6680189
Neighborhood 98: Fuente del Berro (4452.82 €/m2) - District 15: Salamanca,Fuente del Berro,Salamanca,4452.82,3.5071693441308818,0.964772716138092,0.26308478898546844,40.424977,-3.6636998
Neighborhood 3: Imperial (4098.59 €/m2) - District 1: Arganzuela,Imperial,Arganzuela,4098.59,1.7634367490774236,-0.7256672651734453,-0.688045798080108,40.4057995,-3.7186854
Neighborhood 1: Chopera (3783.78 €/m2) - District 1: Arganzuela,Chopera,Arganzuela,3783.78,2.4243682180158905,0.14305268082331704,-0.9897150754178003,40.3950981,-3.6994819
Neighborhood 5: Acacias (4208.0 €/m2) - District 1: Arganzuela,Acacias,Arganzuela,4208.0,1.416855847775614,-0.14173334783009192,-0.9899048732645346,40.4040749,-3.7059572
Neighborhood 2: Delicias (3972.6 €/m2) - District 1: Arganzuela,Delicias,Arganzuela,3972.6,2.4929458998621716,0.45983075374406474,-0.8880065753760865,40.3967843,-3.6900384
Neighborhood 6: Palos de Moguer (3975.0 €/m2) - District 1: Arganzuela,Palos Moguer,Arganzuela,3975.0,1.5244583923011228,0.5760778236897306,-0.8173948501507112,40.4054971,-3.6932099
Neighborhood 4: Legazpi (4486.93 €/m2) - District 1: Arganzuela,Legazpi,Arganzuela,4486.93,2.899111334792092,0.25172324291616377,-0.9677992606815579,40.3914432,-3.6949558
Neighborhood 10: Casco Histórico de Barajas (3100.87 €/m2) - District 2: Barajas,Casco Histórico Barajas,Barajas,3100.87,12.235938580431675,0.8566817384032731,0.5158453247693013,40.4733176,-3.5798446
Neighborhood 8: Alameda de Osuna (3113.42 €/m2) - District 2: Barajas,Alameda Osuna,Barajas,3113.42,10.80828829922848,0.9066402773764927,0.42190450037736793,40.4575814,-3.5879745
Neighborhood 11: Timón (2879.88 €/m2) - District 2: Barajas,Timón,Barajas,2879.88,3.384763417575765,-0.08442851968778108,-0.996429538433767,40.3863326,-3.7069611
Neighborhood 9: Campo de las Naciones-Corralejos (3417.44 €/m2) - District 2: Barajas,Campo las Naciones,Barajas,3417.44,8.947516855591262,0.7329939430519637,0.6802351648137095,40.4713752,-3.6261062
